code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00066,港铁公司,2019-06-03 00:00:00,39.92,39.82,39.92,39.32,18.143,0.00061,3732300,178152590.0,-0.12540757461749977,39.87
HK.00066,港铁公司,2019-06-04 00:00:00,39.87,39.72,39.87,39.32,18.106,0.00049,3024250,144247010.0,-0.2511300853842326,39.82
HK.00066,港铁公司,2019-06-05 00:00:00,39.82,39.97,39.97,39.52,18.2,0.00048,2962346,141884048.0,0.6294058408862034,39.72
HK.00066,港铁公司,2019-06-06 00:00:00,39.72,40.22,40.42,39.67,18.295,0.00049,3017445,145503707.0,0.6254691018263697,39.97
HK.00066,港铁公司,2019-06-10 00:00:00,40.42,40.37,40.62,39.82,18.352,0.0007,4329058,209161008.0,0.37294878170064294,40.22
HK.00066,港铁公司,2019-06-11 00:00:00,40.47,40.92,40.92,40.22,18.56,0.00092,5648307,275975891.0,1.3623978201634983,40.37
HK.00066,港铁公司,2019-06-12 00:00:00,40.67,40.47,41.02,40.17,18.39,0.00093,5691118,276868115.0,-1.099706744868042,40.92
HK.00066,港铁公司,2019-06-13 00:00:00,39.97,40.72,40.72,39.42,18.484,0.00068,4197050,202399021.0,0.6177415369409439,40.47
HK.00066,港铁公司,2019-06-14 00:00:00,40.37,41.27,41.27,40.27,18.693,0.00173,10643297,522855492.0,1.3506876227897944,40.72
HK.00066,港铁公司,2019-06-17 00:00:00,41.22,41.67,42.22,40.97,18.844,0.00137,8422394,418010512.0,0.9692270414344525,41.27
HK.00066,港铁公司,2019-06-18 00:00:00,41.57,41.82,41.92,41.52,18.901,0.00049,2998343,149474422.0,0.3599712023038123,41.67
HK.00066,港铁公司,2019-06-19 00:00:00,42.22,42.62,43.87,41.92,19.204,0.00128,7850538,397565561.0,1.9129603060736422,41.82
HK.00066,港铁公司,2019-06-20 00:00:00,42.47,42.92,42.92,42.32,19.318,0.00067,4116361,209012930.0,0.7038948850305121,42.62
HK.00066,港铁公司,2019-06-21 00:00:00,42.87,43.32,43.32,42.82,19.469,0.00089,5462576,279587744.0,0.9319664492078251,42.92
HK.00066,港铁公司,2019-06-24 00:00:00,43.12,43.77,43.87,43.12,19.64,0.00064,3953735,204312101.0,1.0387811634349096,43.32
HK.00066,港铁公司,2019-06-25 00:00:00,43.42,44.27,44.47,43.37,19.829,0.0012,7362956,383636147.0,1.142334932602239,43.77
HK.00066,港铁公司,2019-06-26 00:00:00,44.07,44.47,44.82,43.87,19.905,0.00072,4427660,232533641.0,0.4517732098486463,44.27
HK.00066,港铁公司,2019-06-27 00:00:00,44.42,44.77,44.77,44.02,20.018,0.00055,3376428,177359815.0,0.6746120980436345,44.47
HK.00066,港铁公司,2019-06-28 00:00:00,44.72,44.52,44.72,44.12,19.924,0.00044,2684563,140829974.0,-0.5584096493187402,44.77
HK.00066,港铁公司,2019-07-02 00:00:00,44.42,44.87,44.87,44.17,20.056,0.00078,4781581,251763002.0,0.7861635220125658,44.52
HK.00066,港铁公司,2019-07-03 00:00:00,44.92,45.32,45.52,44.62,20.227,0.00051,3133057,166466629.0,1.0028972587474991,44.87
HK.00066,港铁公司,2019-07-04 00:00:00,45.07,45.57,45.87,45.07,20.321,0.00036,2241085,120468438.0,0.5516328331862312,45.32
HK.00066,港铁公司,2019-07-05 00:00:00,45.27,45.72,45.92,45.22,20.378,0.00074,4570205,245428539.0,0.3291639236339666,45.57
HK.00066,港铁公司,2019-07-08 00:00:00,45.47,44.92,45.72,44.62,20.075,0.0007,4312693,229097151.0,-1.7497812773403263,45.72
HK.00066,港铁公司,2019-07-09 00:00:00,44.92,45.22,45.72,44.77,20.189,0.00056,3429732,182486227.0,0.6678539626001717,44.92
HK.00066,港铁公司,2019-07-10 00:00:00,45.32,45.77,45.87,45.32,20.397,0.0005,3050293,164032711.0,1.2162759840778512,45.22
HK.00066,港铁公司,2019-07-11 00:00:00,45.92,46.12,46.42,45.82,20.53,0.00049,3008242,163280620.0,0.764693030369225,45.77
HK.00066,港铁公司,2019-07-12 00:00:00,46.12,46.32,46.32,45.92,20.606,0.00024,1473822,79965152.0,0.4336513443191736,46.12
HK.00066,港铁公司,2019-07-15 00:00:00,46.27,46.37,46.57,45.57,20.625,0.00038,2306447,125450132.0,0.10794473229705777,46.32
HK.00066,港铁公司,2019-07-16 00:00:00,46.52,47.12,47.12,46.37,20.909,0.00045,2746986,151037972.0,1.6174250593055857,46.37
HK.00066,港铁公司,2019-07-17 00:00:00,47.12,47.57,47.62,46.92,21.079,0.00043,2621887,145447113.0,0.9550084889643524,47.12
HK.00066,港铁公司,2019-07-18 00:00:00,47.42,47.62,47.67,47.17,21.098,0.00043,2641589,146765710.0,0.10510826150934865,47.57
HK.00066,港铁公司,2019-07-19 00:00:00,45.97,46.12,46.87,45.57,20.53,0.00279,17179993,933006153.0,-3.149937001259975,47.62
HK.00066,港铁公司,2019-07-22 00:00:00,45.42,45.12,46.07,44.92,20.151,0.00137,8462186,453443076.0,-2.168256721595837,46.12
HK.00066,港铁公司,2019-07-23 00:00:00,45.22,46.02,46.12,44.92,20.492,0.00059,3637649,196158904.0,1.9946808510638423,45.12
HK.00066,港铁公司,2019-07-24 00:00:00,46.02,45.52,46.22,45.47,20.303,0.00062,3825153,205953975.0,-1.086484137331595,46.02
HK.00066,港铁公司,2019-07-25 00:00:00,45.32,45.52,45.72,45.07,20.303,0.00054,3346696,178989503.0,0.0,45.52
HK.00066,港铁公司,2019-07-26 00:00:00,45.37,45.72,45.92,45.32,20.378,0.00043,2646130,142317096.0,0.43936731107204685,45.52
HK.00066,港铁公司,2019-07-29 00:00:00,45.12,44.02,45.37,43.42,19.734,0.00174,10681096,555791389.0,-3.7182852143481973,45.72
HK.00066,港铁公司,2019-07-30 00:00:00,43.72,44.27,44.32,43.72,19.829,0.00078,4809498,250411464.0,0.5679236710586096,44.02
