code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
SZ.000333,美的集团,2019-06-03 00:00:00,35.562903,35.892903,36.762903,35.522903,15.687,0.00353,22801010,1147776867.29,1.4700518077354183,35.372903
SZ.000333,美的集团,2019-06-04 00:00:00,35.902903,35.472903,36.362903,34.982903,15.555,0.00253,16344731,811702804.48,-1.1701477587365798,35.892903
SZ.000333,美的集团,2019-06-05 00:00:00,36.192903,35.282903,36.312903,35.022903,15.496,0.00356,22979619,1147254243.7,-0.5356201041679752,35.472903
SZ.000333,美的集团,2019-06-06 00:00:00,35.872903,34.892903,35.872903,34.642903,15.374,0.00287,18573924,918001247.2,-1.1053512235090197,35.282903
SZ.000333,美的集团,2019-06-10 00:00:00,35.332903,35.532903,35.772903,35.112903,15.574,0.00377,24381043,1213075623.08,1.8341838740101406,34.892903
SZ.000333,美的集团,2019-06-11 00:00:00,35.462903,37.242903,37.612903,35.372903,16.109,0.00579,37427417,1912923617.85,4.8124410212134965,35.532903
SZ.000333,美的集团,2019-06-12 00:00:00,37.112903,37.282903,37.392903,36.602903,16.122,0.00329,21263683,1089754701.08,0.1074030131324595,37.242903
SZ.000333,美的集团,2019-06-13 00:00:00,37.462903,36.802903,37.462903,35.982903,15.971,0.00312,20181618,1027154861.93,-1.28745339385186,37.282903
SZ.000333,美的集团,2019-06-14 00:00:00,37.052903,36.342903,37.672903,36.322903,15.827,0.0021,13592896,692935413.99,-1.2499014004411577,36.802903
SZ.000333,美的集团,2019-06-17 00:00:00,36.642903,36.562903,37.022903,36.162903,15.896,0.00205,13274503,674222037.73,0.6053451481297432,36.342903
SZ.000333,美的集团,2019-06-18 00:00:00,36.532903,36.682903,37.072903,36.272903,15.934,0.00186,12021879,613259814.3,0.3282015106951561,36.562903
SZ.000333,美的集团,2019-06-19 00:00:00,38.272903,37.782903,38.742903,37.782903,16.288,0.00407,26345355,1381397040.41,2.998672160706567,36.682903
SZ.000333,美的集团,2019-06-20 00:00:00,38.132903,39.062903,39.722903,37.882903,17.506,0.00661,44843750,2389697357.56,3.387775682562034,37.782903
SZ.000333,美的集团,2019-06-21 00:00:00,38.582903,37.882903,39.342903,37.602903,17.118,0.00918,62281987,3260271975.89,-3.020768835332079,39.062903
SZ.000333,美的集团,2019-06-24 00:00:00,37.602903,37.952903,38.392903,37.172903,17.141,0.00555,37697202,1965902486.03,0.18477992565670134,37.882903
SZ.000333,美的集团,2019-06-25 00:00:00,37.772903,37.212903,37.952903,36.772903,16.898,0.00487,33048049,1701992981.34,-1.9497849742877427,37.952903
SZ.000333,美的集团,2019-06-26 00:00:00,37.282903,37.282903,37.602903,37.092903,16.921,0.00298,20254883,1043841121.71,0.18810679725793036,37.212903
SZ.000333,美的集团,2019-06-27 00:00:00,37.472903,37.542903,38.052903,37.122903,17.007,0.00509,34520988,1789191029.97,0.6973705883364424,37.282903
SZ.000333,美的集团,2019-06-28 00:00:00,37.462903,37.632903,37.962903,37.172903,17.036,0.0025,16957648,878142832.68,0.23972573458157007,37.542903
SZ.000333,美的集团,2019-07-01 00:00:00,38.742903,39.862903,40.222903,38.532903,17.769,0.009,61163012,3287136780.35,5.92566563360792,37.632903
SZ.000333,美的集团,2019-07-02 00:00:00,39.432903,40.582903,40.872903,39.332903,18.005,0.00737,50048615,2731208814.84,1.8061905827581066,39.862903
SZ.000333,美的集团,2019-07-03 00:00:00,40.992903,39.862903,41.092903,39.452903,17.769,0.00522,35433551,1936469749.13,-1.774146122567917,40.582903
